repertoire,locus,unique_v3j,unique_vdj,reads
Briney_2019_Subject_327059_IgA_Subject-327059_Replicate-10_Isotype-IgA,IGK,1,1,1
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S52_Naive-B-Cells_igblastn_Bulk,IGL,14049,98593,109811
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S27_Naive-B-Cells_igblastn_Bulk,IGK,29535,238062,356785
Prohaska_2018_Peritoneum_B-1a_IGHM_Peritoneum_B-1a_iglblastn_IGHM,IGH,21471,89729,115144
Gupta_2017_Light_GMC_volunteer_GMC_after_1d_SRX2251674_iglblastn,IGH,52913,155668,195606
Galson_2015_Visit-1_Subject-1015_IgM_Subject-1015_Visit-1_treatment-MenACWY-polysaccharide_Memory-B-cells_IgM_iglblastn,IGH,21491,82919,131352
Vander_Heiden_2017_Heavy_MK08_IGHD_MK08_Memory_Bcells_age33_Musk_disease-8_stageIIb_treatment-Pyridostigmine-Prednisone_iglblastn_igblastn_IGHD,IGH,595,2850,4280
Halliley_2015_PEM_IGHA_SRR1964798_iglblastn_igblastn_IGHA,IGH,1821,13003,13534
Vergani_2017_B19_age-59_IGHA_B19_age-59_iglblastn_IGHA,IGH,176,263,297
Parameswaran_2014_PConv_IGHA_238_PConv_iglblastn_IGHA,IGH,5,5,5
Briney_2019_Subject_326737_IgE_Subject-326737_Replicate-18_Isotype-IgE,IGH,30,33,33
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S35_Naive-B-Cells_igblastn_Bulk,IGK,27790,205130,363893
Briney_2019_Subject_D103_unknown_Subject-D103_Replicate-2_Isotype-unknown,IGK,12,46,46
Stern_2014_M3_IGHD_M3_CLN_74y_ILLUMINA_iglblastn_igblastn_IGHD,IGH,3719,10416,10495
Briney_2019_Subject_326651_IgG_Subject-326651_Replicate-11_Isotype-IgG,IGH,504249,1396914,1398089
Gupta_2017_Heavy_GMC_volunteer_Bulk_GMC_after_2w_SRX2251673_iglblastn_igblastn_Bulk,IGH,1712,1933,1960
Briney_2019_Subject_326650_IgD_Subject-326650_Replicate-13_Isotype-IgD,IGH,137,144,144
Briney_2019_Subject_326651_unknown_Subject-326651_Replicate-10_Isotype-unknown,IGK,2,2,2
Vander_Heiden_2017_Heavy_HD10_IGHE_HD10_Naive_Bcells_age31_healthy_iglblastn_igblastn_IGHE,IGL,105,131,140
Eliyahu_2018_Heavy_HCV_IGM_IGHM_HCV_C7_IGM_igblastn_IGHM,IGH,33115,37692,253108
Thornqvist_2018_Donor-6_Bone-Marrow_Bulk_Donor_6_bone_marrow_sample_1_igblastn_Bulk,IGH,586,884,886
Ohm-Laursen_2018_Heavy_Asthma_IGHM_Heavy_Asthma_Biopsy_15_igblastn_IGHM,IGH,4876,198059,286551
Gupta_2017_Heavy_Fv_volunteer_Bulk_FV_after_3d_SRX2251678_iglblastn_igblastn_Bulk,IGH,3171,3279,3291
Briney_2019_Subject_326651_IgM_Subject-326651_Replicate-7_Isotype-IgM,IGH,2182525,3325705,3325756
Johnson_2018_Heavy_Visit-206_CAP256_Heavy_Visit-206_CAP256_PBMC_Part-1,IGK,21,21,21
Parameswaran_2014_Conv_Bulk_479_Conv_iglblastn_Bulk,IGH,3812,4267,4355
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S36_Naive-B-Cells_igblastn_IGHA,IGH,54,562,808
Galson_2016_Visit-4_Subject-2335_Total-B-cells_Subject-2335_Visit-4_age-28_Total-B-cells_iglblastn,IGH,47815,175350,217834
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S39_Naive-B-Cells_igblastn_Bulk,IGL,7416,62749,82978
Wu_2015_Heavy_Visit_A_IGHM_H-4-chain_A-visit_2001-year_07-month_30-day_iglblastn_iglblastn_IGHM,IGH,47473,77094,80067
Briney_2019_Subject_326651_IgE_Subject-326651_Replicate-10_Isotype-IgE,IGL,1,2,2
Vander_Heiden_2017_Heavy_AR02_IGHE_AR02_Naive_Bcells_age61_ACh_disease-1year_stageIIIa_iglblastn_igblastn_IGHE,IGL,77,246,322
Ellebedy_2016_Day-28_peripheral-blood-mononuclear-cell_IGHM_peripheral-blood-mononuclear-cell_Day-28_Donor-6_igblastn_IGHM,IGH,21232,23166,23167
Fisher_2017_Light_Naive_IAC1_Naive_Light_iglblastn,IGH,26,26,26
Briney_2019_Subject_326713_IgM_Subject-326713_Replicate-13_Isotype-IgM,IGH,3809856,5358861,5358882
Pei_2017_WildType_Spleen_IGHM_WildType_Spleen_Pro-B-Cells_4_igblastn_IGHM,IGH,748,3485,5854
Wu_2015_Light_Visit_D_L-chain_D-visit_2007-year_01-month_09-day_iglblastn,IGK,29626,171616,355504
Galson_2016_Visit-3_Subject-2335_Total-B-cells_Subject-2335_Visit-3_age-28_Total-B-cells_iglblastn,IGK,1,1,1
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S76_Naive-B-Cells_igblastn_Bulk,IGH,586,729,777
Sheng_2017_Light_LP08248-Light-27_igblastn,IGH,75,115,130
Levin_2015_SIT_timepoint-365_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-6_timepoint-365_Age-41_SRR5754975_iglblastn_iglblastn_IGHA,IGH,944,1220,1397
Levin_2017_Bone_marrow_Donor2_Bulk_Donor2_BM_1_iglblastn_Bulk,IGH,124,172,172
Levin_2017_Bone_marrow_Donor3_IGHE_Donor3_BM_1_iglblastn_IGHE,IGH,10057,200879,356711
Parameswaran_2014_Conv_Bulk_232_Conv_iglblastn_Bulk,IGH,4266,5871,6143
Vander_Heiden_2017_Heavy_HD07_IGHD_HD07_Unsorted_Bcells_age33_healthy_iglblastn_igblastn_IGHD,IGK,30,37,51
Vander_Heiden_2017_Heavy_AR02_Bulk_AR02_Memory_Bcells_age61_ACh_disease-1year_stageIIIa_iglblastn_igblastn_Bulk,IGK,40920,162511,300935
Briney_2019_Subject_D103_IgA_Subject-D103_Replicate-8_Isotype-IgA,IGK,2,3,3
Gupta_2017_Heavy_IB_volunteer_IGHM_IB_after_4w_SRX2251663_iglblastn_igblastn_IGHM,IGL,122,136,138
Levin_2015_SIT_timepoint-365_tissue-PBMC_IGHM_SIT_tissue-PBMC_subject-1_timepoint-365_Age-38_SRR5754980_iglblastn_iglblastn_IGHM,IGH,982,1006,1059
Gupta_2017_Heavy_IB_volunteer_IGHE_IB_after_3w_SRX2251664_iglblastn_igblastn_IGHE,IGL,195,303,341
Briney_2019_Subject_326650_IgE_Subject-326650_Replicate-1_Isotype-IgE,IGH,580,610,610
Landais_2017_Heavy_Month-V6_IGHG_Heavy_Month-V6_PC64_igblastn_IGHG,IGH,101341,725602,810736
Vander_Heiden_2017_Heavy_HD13_IGHA_HD13_Unsorted_Bcells_age51_healty_iglblastn_igblastn_IGHA,IGK,22,23,23
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_SC9_IGA_igblastn_Bulk,IGH,27,29,224
Ellebedy_2016_Day-7_HA-negative-antibody-secreting-cell_IGHA_HA-negative-antibody-secreting-cell_Day-7_Donor-4_igblastn_IGHA,IGH,657,7584,8210
Wesemann_2013_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_IgK_RAG+_B_lineage_cells_from_small_intestinal_lamina_propria_SRR934655_iglblastn,IGL,20,23,27
Vander_Heiden_2017_Heavy_AR04_IGHA_AR04_Memory_Bcells_age13_ACh_disease-1year_stageI_iglblastn_igblastn_IGHA,IGK,101,225,369
Fisher_2017_Light_Naive_IAC2_Naive_Light_iglblastn,IGL,8,10,10
Rubelt_2016_TWINs_5_TW05A_IGHE_TW05A_B_memory_iglblastn_IGHE,IGH,31,36,36
Gupta_2017_Heavy_IB_volunteer_Bulk_IB_after_3w_SRX2251664_iglblastn_igblastn_Bulk,IGH,2137,2188,2199
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S63_Naive-B-Cells_igblastn_IGHG,IGH,9,16,28
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S86_Naive-B-Cells_igblastn_IGHG,IGH,5,24,25
Landais_2017_Heavy_PC64_IGHG_Heavy_PC64_Month-V36c_igblastn_IGHG,IGH,88061,785008,1022370
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHD_Heavy_Healthy-celiac-disease_S22_Naive-B-Cells_igblastn_IGHD,IGH,21124,51113,59128
Levin_2015_NoSIT_timepoint-365_tissue-PBMC_IGHG_NoSIT_tissue-PBMC_subject-12_timepoint-365_Age-24_SRR5755024_iglblastn_iglblastn_IGHG,IGH,604,653,682
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHD_SIT_tissue-PBMC_subject-5_timepoint-0_Age-23_SRR5755041_iglblastn_iglblastn_IGHD,IGH,1146,1433,1788
Wesemann_2013_IgH_Lamina_propria_from_mice_colonized_for_7_days_IGHM_IgH_lamina_propria_from_mice_colonized_for_7_days_SRR934691_iglblastn_igblastn_IGHM,IGH,775,957,971
Parameswaran_2014_PConv_Bulk_232_PConv_iglblastn_Bulk,IGH,4749,6616,6916
Schanz_2014_H_chain_159_wk181_Bulk_Schanz_159_wk181_nucleotide_renamed_igblastn_Bulk,IGH,40527,426668,434550
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S3_Naive-B-Cells_igblastn_Bulk,IGH,77,104,106
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHE_SIT_tissue-PBMC_subject-8_timepoint-56_Age-24_SRR5755017_iglblastn_iglblastn_IGHE,IGH,72,314,968
Wesemann_2013_IgK_RAG+_B_lineage_cells_from_bone_marrow_IgK_RAG+_B_lineage_cells_from_bone_marrow_SRR934664_iglblastn,IGL,62,83,97
Briney_2019_Subject_316188_IgD_Subject-316188_Replicate-15_Isotype-IgD,IGH,45,48,48
Briney_2019_Subject_326780_IgE_Subject-326780_Replicate-9_Isotype-IgE,IGH,120,144,144
Ellebedy_2016_Day-90_peripheral-blood-mononuclear-cell_IGHD_peripheral-blood-mononuclear-cell_Day-90_Donor-163_igblastn_IGHD,IGH,83371,112159,112189
Pei_2017_epsilon_Bone-Marrow_IGHE_epsilon_Bone-Marrow_Follicular-B-Cells_4_igblastn_IGHE,IGH,68,306,729
Galson_2016_Visit-3_Subject-2491_HBsAg+-B-cells_Subject-2491_Visit-3_age-33_HBsAg+-B-cells_iglblastn,IGH,22582,199040,313566
Rubelt_2016_TWINs_4_TW04A_IGHA_TW04A_B_naive_iglblastn_IGHA,IGH,2271,7171,8613
Gupta_2017_Heavy_GMC_volunteer_IGHM_GMC_after_2w_SRX2251673_iglblastn_igblastn_IGHM,IGH,3773,20161,35224
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S82_Naive-B-Cells_igblastn_IGHA,IGL,1,1,1
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S3_Naive-B-Cells_igblastn_IGHG,IGH,25,42,45
Eliyahu_2018_Heavy_HCV_IGG_IGHA_HCV_SC2_IGG_igblastn_IGHA,IGH,171,231,326
Levin_2015_SIT_timepoint-0_tissue-Biopsy_IGHE_SIT_tissue-Biopsy_subject-3_timepoint-0_Age-30_SRR5754995_iglblastn_iglblastn_IGHE,IGH,9,13,44
Gupta_2017_Heavy_IB_volunteer_IGHG_IB_after_1d_SRX2251661_iglblastn_igblastn_IGHG,IGH,5498,21645,26454
Waltari_2018_Heavy_Healthy_cord-blood-cells_IGHG_Heavy_Healthy_cord-blood-cells_CB2_igblastn_IGHG,IGL,14,14,14
Briney_2019_Subject_326713_IgE_Subject-326713_Replicate-2_Isotype-IgE,IGL,1,1,1
Galson_2016_Visit-6_Subject-2277_Total-B-cells_Subject-2277_Visit-6_age-22_Total-B-cells_iglblastn,IGH,53850,160451,199728
Briney_2019_Subject_326651_IgE_Subject-326651_Replicate-11_Isotype-IgE,IGH,1473,1600,1602
Vander_Heiden_2017_Heavy_AR04_IGHE_AR04_Memory_Bcells_age13_ACh_disease-1year_stageI_iglblastn_igblastn_IGHE,IGK,44,59,78
Briney_2019_Subject_316188_IgE_Subject-316188_Replicate-16_Isotype-IgE,IGH,153,166,166
Levin_2015_SIT_timepoint-0_tissue-PBMC_IGHG_SIT_tissue-PBMC_subject-5_timepoint-0_Age-23_SRR5755072_iglblastn_iglblastn_IGHG,IGH,702,855,905
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHM_SIT_tissue-PBMC_subject-2_timepoint-56_Age-30_SRR5755023_iglblastn_iglblastn_IGHM,IGH,1044,1451,1799
Schanz_2014_L_chain_159_wk181_Schanz_159_wk181_nucleotide_renamed_igblastn_Bulk,IGL,23273,137884,137888
Rubelt_2016_TWINs_3_TW03B_IGHE_TW03B_B_naive_iglblastn_IGHE,IGH,38,49,49
Levin_2015_NoSIT_timepoint-365_tissue-PBMC_Bulk_NoSIT_tissue-PBMC_subject-10_timepoint-365_Age-30_SRR5755052_iglblastn_iglblastn_Bulk,IGH,10569,15701,22770
Huang_2016_light_2015_2015_3rd_run_light_2-fq-gz_iglblastn,IGH,27,32,32
Galson_2016_Visit-7_Subject-2491_Total-B-cells_Subject-2491_Visit-7_age-33_Total-B-cells_iglblastn,IGL,2,2,2
Levin_2015_NoSIT_timepoint-365_tissue-PBMC_IGHM_NoSIT_tissue-PBMC_subject-15_timepoint-365_Age-24_SRR5755029_iglblastn_iglblastn_IGHM,IGH,828,855,905
Levin_2015_SIT_timepoint-56_tissue-PBMC_Bulk_SIT_tissue-PBMC_subject-1_timepoint-56_Age-38_SRR5755022_iglblastn_iglblastn_Bulk,IGH,3,3,3
Parameswaran_2014_Acute_Bulk_489_Acute_iglblastn_Bulk,IGH,3559,4262,4402
Bonsignori_2016_Hiv_infected_week-7_Bulk_HIV_infected_week-7_week_repeat-1_PBMC_iglblastn_igblastn_Bulk,IGH,1140,1356,1620
Sheng_2017_Light_LP32647-Light-4_igblastn,IGH,4,5,5
Briney_2019_Subject_326737_IgD_Subject-326737_Replicate-16_Isotype-IgD,IGH,61,81,81
Vander_Heiden_2017_Heavy_MK08_IGHG_MK08_Memory_Bcells_age33_Musk_disease-8_stageIIb_treatment-Pyridostigmine-Prednisone_iglblastn_igblastn_IGHG,IGL,194,443,681
Briney_2019_Subject_D103_IgA_Subject-D103_Replicate-18_Isotype-IgA,IGH,58,109,109
Gupta_2017_Light_Fv_volunteer_FV_before_1h_SRX2251681_iglblastn,IGK,73001,350193,402653
Wu_2014_Allergic-rhinitis-in-season_IGHM_Patient_302_Allergic-rhinitis-in-season_age-43_iglblastn_IGHM,IGH,2410,2615,2649
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHG_NoSIT_tissue-PBMC_subject-12_timepoint-0_Age-24_SRR5755096_iglblastn_iglblastn_IGHG,IGH,930,1039,1087
Waltari_2018_Heavy_HIV_PBMCs_IGHM_Heavy_HIV_PBMCs_AD344_igblastn_IGHM,IGL,5,5,5
Vander_Heiden_2017_Heavy_AR05_IGHD_AR05_Memory_Bcells_age67_ACh_disease-1year_stageI_iglblastn_igblastn_IGHD,IGK,18,24,27
Thornqvist_2018_Donor-6_PBMC_IGHA_Donor_6_peripheral_blood_sample_2_igblastn_IGHA,IGH,18861,224077,229071
Briney_2019_Subject_D103_IgA_Subject-D103_Replicate-13_Isotype-IgA,IGL,1,1,1
Vander_Heiden_2017_Light_HD09_HD09_Unsorted_Bcells_age31_healthy_iglblastn,IGL,7272,85737,190609
Levin_2015_NoSIT_timepoint-365_tissue-PBMC_IGHM_NoSIT_tissue-PBMC_subject-10_timepoint-365_Age-30_SRR5755007_iglblastn_iglblastn_IGHM,IGH,937,1023,1126
Waltari_2018_Heavy_Healthy_PBMCs_IGHA_Heavy_Healthy_PBMCs_BD3a_igblastn_IGHA,IGH,48896,811475,1108712
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHE_SIT_tissue-PBMC_subject-8_timepoint-56_Age-24_SRR5754996_iglblastn_iglblastn_IGHE,IGH,86,354,1130
Vander_Heiden_2017_Light_HD13_HD13_Unsorted_Bcells_age51_healty_iglblastn,IGL,5892,79157,190549
Eliyahu_2018_Heavy_HCV_IGG_IGHA_HCV_SC11_IGG_igblastn_IGHA,IGH,180,214,271
Halliley_2015_IGG_IGHA_SRR1964797_iglblastn_igblastn_IGHA,IGH,45925,211776,217528
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S26_Naive-B-Cells_igblastn_Bulk,IGK,23441,201383,396368
Briney_2019_Subject_326907_IgM_Subject-326907_Replicate-2_Isotype-IgM,IGK,1,1,1
Ota_2010_Spleen_B6_3H9_delta_BAFF_Spleen_iglblastn,IGK,5477,24419,24731
Doria-Rose_2015_Light_Week119_CAP256-Week119-Light_iglblastn,IGH,5,5,5
Ohm-Laursen_2018_Heavy_Asthma_IGHD_Heavy_Asthma_Biopsy_11_igblastn_IGHD,IGH,1320,44436,48017
Palanichamy_2014_Source-PBMC_Subject-43213_IGHM_Subject-43213_Source-PBMC_Age-34_iglblastn_igblastn_IGHM,IGH,10042,93699,113171
Doria-Rose_2015_Light_Week59_CAP256-Week59-Light_iglblastn,IGH,3,3,3
Briney_2019_Subject_326907_IgE_Subject-326907_Replicate-17_Isotype-IgE,IGH,16,17,17
Vander_Heiden_2017_Heavy_HD10_IGHD_HD10_Unsorted_Bcells_age31_healthy_iglblastn_igblastn_IGHD,IGK,30,33,33
Gupta_2017_Heavy_GMC_volunteer_IGHM_GMC_after_1w_SRX2251672_iglblastn_igblastn_IGHM,IGK,70,80,94
Vander_Heiden_2017_Heavy_MK03_IGHG_MK03_Memory_Bcells_age51_Musk_disease-27years_stageIIIb_treatment-Pyridostigmine-Prednisone_iglblastn_igblastn_IGHG,IGH,933,3047,4256
Gupta_2017_Heavy_GMC_volunteer_IGHG_GMC_after_1d_SRX2251674_iglblastn_igblastn_IGHG,IGH,4800,23129,29836
Ellebedy_2016_Day-0_peripheral-blood-mononuclear-cell_IGHM_peripheral-blood-mononuclear-cell_Day-0_Donor-6_igblastn_IGHM,IGH,52246,59000,59023
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHG_NoSIT_tissue-PBMC_subject-16_timepoint-0_Age-47_SRR5755100_iglblastn_iglblastn_IGHG,IGH,604,729,789
Thornqvist_2018_Donor-4_PBMC_IGHE_Donor_4_peripheral_blood_sample_2_igblastn_IGHE,IGH,6254,138580,393402
Doria-Rose_2015_Heavy_Week176_IGHM_CAP256-Week176-Heavy_iglblastn_IGHM,IGH,61678,166608,183321
Briney_2019_Subject_326737_IgA_Subject-326737_Replicate-8_Isotype-IgA,IGH,291,317,317
Levin_2015_NoSIT_timepoint-365_tissue-Biopsy_IGHD_NoSIT_tissue-Biopsy_subject-11_timepoint-365_Age-23_SRR5755054_iglblastn_iglblastn_IGHD,IGH,144,256,393
Waltari_2018_Heavy_HIV_PBMCs_IGHA_Heavy_HIV_PBMCs_MT8004_igblastn_IGHA,IGH,43797,642856,722129
Briney_2019_Subject_326650_IgE_Subject-326650_Replicate-17_Isotype-IgE,IGH,139,156,156
Gupta_2017_Light_GMC_volunteer_GMC_before_8d_SRX2251677_iglblastn,IGL,58837,265586,392885
Rubelt_2016_TWINs_5_TW05A_IGHA_TW05A_B_memory_iglblastn_IGHA,IGH,6294,25708,25828
Gupta_2017_Heavy_GMC_volunteer_IGHM_GMC_after_4w_SRX2251668_iglblastn_igblastn_IGHM,IGL,126,138,139
Tipton_2015_FLU_IGHE_FLU_subject_2_iglblastn_IGHE,IGH,16,16,16
Rubelt_2016_TWINs_5_TW05B_IGHM_TW05B_B_memory_iglblastn_IGHM,IGH,9094,42300,44184
Corcoran_2016_heavy_rhesus_rhesus_heavy_F124_igblastn,IGH,123872,945429,975456
Briney_2019_Subject_326907_IgG_Subject-326907_Replicate-12_Isotype-IgG,IGH,8404,25358,25365
Briney_2019_Subject_326650_IgA_Subject-326650_Replicate-18_Isotype-IgA,IGH,110,154,154
Eliyahu_2018_Heavy_HCV_IGA_Bulk_HCV_C8_IGA_igblastn_Bulk,IGK,6,6,13
Turchaninova_2016_Bulk_B_memory_donor_1_iglblastn_igblastn_Bulk,IGH,85,115,115
Waltari_2018_Light_Healthy_PBMCs_Bulk_Heavy_Healthy_PBMCs_BD13_igblastn_Bulk,IGH,1272,2351,2866
Levin_2015_SIT_timepoint-56_tissue-PBMC_IGHA_SIT_tissue-PBMC_subject-5_timepoint-56_Age-23_SRR5755003_iglblastn_iglblastn_IGHA,IGH,1400,1701,1840
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S92_Naive-B-Cells_igblastn_IGHA,IGH,78,1307,2095
Jiang_2013_FLU_Bulk_SRR770500_iglblastn_igblastn_Bulk,IGH,68124,114407,124786
Briney_2019_Subject_326713_IgG_Subject-326713_Replicate-14_Isotype-IgG,IGH,333217,810873,810893
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S16_Naive-B-Cells_igblastn_IGHA,IGH,99,2712,3164
Vander_Heiden_2017_Heavy_MK02_IGHA_MK02_Naive_Bcells_age28_MuSK_disease-8years_stageIIIb_treatment-prednisone_iglblastn_igblastn_IGHA,IGK,126,624,1629
Gidoni_2019_Light_Healthy-celiac-disease_Bulk_Heavy_Healthy-celiac-disease_S68_Naive-B-Cells_igblastn_Bulk,IGL,9351,89043,115247
Doria-Rose_2015_Light_Week16_CAP256-Week16-Light_iglblastn,IGH,9,9,9
Parameswaran_2014_nonDengue_Bulk_332_nonDengue_iglblastn_Bulk,IGH,1006,1638,1765
Waltari_2018_Heavy_Healthy_PBMCs_IGHG_Heavy_Healthy_PBMCs_BD5a_igblastn_IGHG,IGH,36,36,36
Briney_2019_Subject_326651_IgA_Subject-326651_Replicate-18_Isotype-IgA,IGH,368,400,400
Levin_2015_NoSIT_timepoint-365_tissue-Biopsy_IGHG_NoSIT_tissue-Biopsy_subject-16_timepoint-365_Age-47_SRR5755063_iglblastn_iglblastn_IGHG,IGH,463,692,856
Vander_Heiden_2017_Heavy_MK04_IGHM_MK04_Memory_Bcells_age54_Musk_disease-19_stageIIb_iglblastn_igblastn_IGHM,IGL,21,21,21
Ellebedy_2016_Day-90_peripheral-blood-mononuclear-cell_IGHE_peripheral-blood-mononuclear-cell_Day-90_Donor-163_igblastn_IGHE,IGH,96,2354,2997
Johnson_2018_Heavy_Visit-206_CAP256_Heavy_Visit-206_CAP256_PBMC_Part-2,IGH,254030,846176,876639
Vander_Heiden_2017_Heavy_AR03_IGHM_AR03_Memory_Bcells_age18_ACh_disease-2years_stageI_iglblastn_igblastn_IGHM,IGK,30,33,34
Levin_2017_Bone_marrow_Donor4_IGHD_Donor4_BM_2_iglblastn_IGHD,IGH,34,35,35
Levin_2017_Bone_marrow_Donor4_IGHE_Donor4_BM_1_iglblastn_IGHE,IGH,16844,330426,684526
Ellebedy_2016_Day-7_HA-positive-activated-B-cell_IGHA_HA-positive-activated-B-cell_Day-7_Donor-5_igblastn_IGHA,IGH,23,279,311
Palanichamy_2014_Source-PBMC_Subject-34012_IGHE_Subject-34012_Source-PBMC_Age-43_iglblastn_igblastn_IGHE,IGH,26,28,28
Rubelt_2016_TWINs_3_TW03B_IGHA_TW03B_B_naive_iglblastn_IGHA,IGH,1529,4975,5029
Ota_2010_Spleen_B6_3H9_BAFF_Spleen_iglblastn,IGL,4,20,20
Gupta_2017_Heavy_Fv_volunteer_IGHM_FV_after_3d_SRX2251678_iglblastn_igblastn_IGHM,IGK,74,89,98
Liao_2013_Heavy_Bulk_CH505-IGH-wk144_iglblastn_igblastn_Bulk,IGK,1,1,1
Briney_2019_Subject_326907_IgD_Subject-326907_Replicate-18_Isotype-IgD,IGH,4,4,4
Gupta_2017_Heavy_IB_volunteer_IGHE_IB_after_1d_SRX2251661_iglblastn_igblastn_IGHE,IGK,78,91,107
Levin_2015_NoSIT_timepoint-0_tissue-PBMC_IGHM_NoSIT_tissue-PBMC_subject-16_timepoint-0_Age-47_SRR5755102_iglblastn_iglblastn_IGHM,IGH,269,276,295
Ellebedy_2016_Day-7_HA-negative-activated-B-cell_Bulk_HA-negative-activated-B-cell_Day-7_Donor-4_igblastn_Bulk,IGH,6,20,20
Gupta_2017_Heavy_Fv_volunteer_IGHM_FV_before_2d_SRX2251686_iglblastn_igblastn_IGHM,IGK,72,91,93
Gupta_2017_Heavy_GMC_volunteer_IGHG_GMC_after_1d_SRX2251674_iglblastn_igblastn_IGHG,IGK,128,150,163
Briney_2019_Subject_326651_IgG_Subject-326651_Replicate-5_Isotype-IgG,IGH,497144,1411497,1412008
Galson_2015_Visit-4_Subject-1001_IgG_Subject-1001_Visit-4_treatment-MenACWY-conjugate_Memory-B-cells_IgG_iglblastn,IGH,17989,74667,92643
Huang_2016_heavy_2014_Bulk_2014_3rd_run_heavy_2-fq-gz_iglblastn_Bulk,IGK,87,260,260
Vander_Heiden_2017_Heavy_MK04_IGHM_MK04_Naive_Bcells_age54_Musk_disease-19_stageIIb_iglblastn_igblastn_IGHM,IGH,23745,67568,93555
Jiang_2013_FLU_Bulk_SRR747232_iglblastn_igblastn_Bulk,IGH,75415,115377,125693
Liao_2013_Heavy_IGHM_CH505-IGH-wk092_iglblastn_igblastn_IGHM,IGH,7050,12785,14298
Rubelt_2016_TWINs_3_TW03A_IGHE_TW03A_B_memory_iglblastn_IGHE,IGH,24,26,26
Bonsignori_2016_Hiv_infected_week-30_Bulk_HIV_infected_week-30_week_repeat-2_PBMC_iglblastn_igblastn_Bulk,IGH,12734,16199,20895
Rubelt_2016_TWINs_2_TW02B_Bulk_TW02B_B_naive_iglblastn_Bulk,IGK,407,724,773
Gupta_2017_Light_GMC_volunteer_GMC_after_2w_SRX2251673_iglblastn,IGL,59749,267884,604999
Vander_Heiden_2017_Heavy_MK02_IGHA_MK02_Naive_Bcells_age28_MuSK_disease-8years_stageIIIb_treatment-prednisone_iglblastn_igblastn_IGHA,IGH,390,2651,3922
Eliyahu_2018_Heavy_HCV_IGM_Bulk_HCV_C5_IGM_igblastn_Bulk,IGH,229,372,487
Parameswaran_2014_Acute_Bulk_563_Acute_iglblastn_Bulk,IGH,3697,4461,4640
Gidoni_2019_Heavy_Healthy-celiac-disease_IGHG_Heavy_Healthy-celiac-disease_S53_Naive-B-Cells_igblastn_IGHG,IGH,9,37,41
Ellebedy_2016_Day-90_memory-B-cell_IGHA_memory-B-cell_Day-90_Donor-5_igblastn_IGHA,IGH,5,5,5
Gupta_2017_Heavy_Fv_volunteer_IGHA_FV_before_1h_SRX2251681_iglblastn_igblastn_IGHA,IGK,87,133,146
Briney_2019_Subject_326737_IgE_Subject-326737_Replicate-6_Isotype-IgE,IGH,64,71,71
Doria-Rose_2015_Heavy_Week59_IGHE_CAP256-Week59-Heavy_iglblastn_IGHE,IGH,16,16,16
Gupta_2017_Heavy_GMC_volunteer_IGHD_GMC_after_1w_SRX2251672_iglblastn_igblastn_IGHD,IGL,361,490,569
Gupta_2017_Heavy_IB_volunteer_IGHE_IB_after_3d_SRX2251665_iglblastn_igblastn_IGHE,IGL,365,568,668
Doria-Rose_2015_Heavy_Week30_Bulk_CAP256-Week30-Heavy_iglblastn_Bulk,IGL,1,1,1
Waltari_2018_Heavy_HIV_PBMCs_IGHM_Heavy_HIV_PBMCs_MT8004_igblastn_IGHM,IGH,97306,345834,367558
